Operacion,Entrada,Salida_Fecha,Motivo,PnL_Total,Balance,Drawdown_Act,MFE_Pips,MAE_Pips,Parcial_Hit
Sell,2025-06-06 14:00:00,2025-06-09 11:35:00,BE_Matematico,-1.37,10234.1,12.06,50.0,12.2,True
Sell,2025-06-11 08:15:00,2025-06-11 08:50:00,Stop_Loss,-74.37,10148.8,12.8,1.1,6.4,False
Buy,2025-06-12 07:10:00,2025-06-12 12:50:00,Take_Profit,208.64,10352.93,11.04,75.1,8.2,True
Sell,2025-06-12 14:30:00,2025-06-26 07:00:00,BE_Matematico,-0.41,10350.84,11.06,150.6,98.2,True
Buy,2025-06-26 07:05:00,2025-07-01 12:30:00,Take_Profit,215.26,10563.94,9.23,142.2,15.8,True
Sell,2025-07-01 15:00:00,2025-07-02 14:25:00,Take_Profit,216.5,10774.92,7.42,54.4,0.9,True
Buy,2025-07-07 13:30:00,2025-07-08 15:10:00,BE_Matematico,-1.33,10768.12,7.47,39.0,12.4,True
Sell,2025-07-09 15:20:00,2025-07-10 07:00:00,Stop_Loss,-76.1,10689.04,8.15,6.4,28.1,False
Sell,2025-07-10 08:00:00,2025-07-10 09:00:00,Stop_Loss,-77.24,10601.89,8.9,1.5,6.3,False
Buy,2025-07-11 07:20:00,2025-07-14 09:10:00,BE_Matematico,-1.28,10595.4,8.96,39.5,13.9,True
Sell,2025-07-16 07:30:00,2025-07-16 09:20:00,Stop_Loss,-75.94,10512.25,9.67,2.2,8.4,False
Buy,2025-07-17 15:00:00,2025-07-17 15:30:00,Stop_Loss,-74.46,10434.23,10.34,9.9,20.4,False
Sell,2025-07-18 13:55:00,2025-07-18 14:10:00,Stop_Loss,-74.8,10352.23,11.05,0.4,8.4,False
Sell,2025-07-18 14:55:00,2025-07-18 15:10:00,Stop_Loss,-73.65,10273.78,11.72,1.5,14.0,False
Buy,2025-07-22 07:00:00,2025-07-23 07:00:00,Take_Profit,209.18,10476.24,9.98,52.9,8.1,True
Buy,2025-07-24 08:00:00,2025-07-24 09:05:00,Stop_Loss,-75.61,10391.25,10.71,4.5,6.6,False
Buy,2025-07-25 08:10:00,2025-07-25 13:45:00,BE_Matematico,-1.47,10383.72,10.78,20.6,10.4,True
Sell,2025-07-25 16:15:00,2025-07-28 07:00:00,Stop_Loss,-73.43,10307.25,11.44,18.3,34.9,False
Sell,2025-07-28 15:00:00,2025-07-29 09:30:00,Take_Profit,213.66,10518.06,9.62,107.2,3.0,True
Sell,2025-07-31 07:55:00,2025-07-31 09:55:00,Stop_Loss,-74.26,10441.25,10.28,4.7,25.4,False
Sell,2025-07-31 14:00:00,2025-08-01 15:30:00,BE_Matematico,-0.82,10437.14,10.32,47.0,76.4,True
Sell,2025-08-04 07:20:00,2025-08-05 14:35:00,Take_Profit,214.05,10646.0,8.52,56.1,4.7,True
Sell,2025-08-06 15:40:00,2025-08-06 15:50:00,Stop_Loss,-75.68,10565.64,9.21,0.0,13.2,False
Buy,2025-08-07 08:35:00,2025-08-07 14:05:00,BE_Matematico,-1.34,10558.85,9.27,28.7,11.4,True
